program,source,repository,version,family,regions,local,present_absent,divergent,identical,loop,multi_qubit_conditional_regions,novel_conditional_pairs,unconditional_multi_qubit_ops
dqc_qft_70,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,2415,2415,0,0,0,0,0,0,0
dqc_qft_71,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,2485,2485,0,0,0,0,0,0,0
dqc_qft_72,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,2556,2556,0,0,0,0,0,0,0
dqc_qft_73,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,2628,2628,0,0,0,0,0,0,0
dqc_qft_74,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,2701,2701,0,0,0,0,0,0,0
dqc_qft_75,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,2775,2775,0,0,0,0,0,0,0
dqc_qft_76,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,2850,2850,0,0,0,0,0,0,0
dqc_qft_77,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,2926,2926,0,0,0,0,0,0,0
dqc_qft_78,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,3003,3003,0,0,0,0,0,0,0
dqc_qft_79,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,3081,3081,0,0,0,0,0,0,0
dqc_qft_8,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,28,28,0,0,0,0,0,0,0
dqc_qft_80,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,3160,3160,0,0,0,0,0,0,0
dqc_qft_81,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,3240,3240,0,0,0,0,0,0,0
dqc_qft_82,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,3321,3321,0,0,0,0,0,0,0
dqc_qft_83,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,3403,3403,0,0,0,0,0,0,0
dqc_qft_84,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,3486,3486,0,0,0,0,0,0,0
dqc_qft_85,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,3570,3570,0,0,0,0,0,0,0
dqc_qft_86,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,3655,3655,0,0,0,0,0,0,0
dqc_qft_87,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,3741,3741,0,0,0,0,0,0,0
dqc_qft_88,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,3828,3828,0,0,0,0,0,0,0
dqc_qft_89,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,3916,3916,0,0,0,0,0,0,0
dqc_qft_9,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,36,36,0,0,0,0,0,0,0
dqc_qft_90,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,4005,4005,0,0,0,0,0,0,0
dqc_qft_91,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,4095,4095,0,0,0,0,0,0,0
dqc_qft_92,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,4186,4186,0,0,0,0,0,0,0
dqc_qft_93,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,4278,4278,0,0,0,0,0,0,0
dqc_qft_94,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,4371,4371,0,0,0,0,0,0,0
dqc_qft_95,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,4465,4465,0,0,0,0,0,0,0
dqc_qft_96,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,4560,4560,0,0,0,0,0,0,0
dqc_qft_97,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,4656,4656,0,0,0,0,0,0,0
dqc_qft_98,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,4753,4753,0,0,0,0,0,0,0
dqc_qft_99,veriqbench,Veri-Q/Benchmark,1c03e45371e5701f62c123943dec1cace4d46767,qft,4851,4851,0,0,0,0,0,0,0
dynamic_qft_4,mqtbench,mqt.bench (PyPI),2.3.0,dynamic_qft,6,6,0,0,0,0,0,0,0
dynamic_qft_6,mqtbench,mqt.bench (PyPI),2.3.0,dynamic_qft,15,15,0,0,0,0,0,0,0
dynamic_qft_8,mqtbench,mqt.bench (PyPI),2.3.0,dynamic_qft,28,28,0,0,0,0,0,0,0
dynamic_qft_12,mqtbench,mqt.bench (PyPI),2.3.0,dynamic_qft,66,66,0,0,0,0,0,0,0
ghz_dynamic_4,mqtbench,mqt.bench (PyPI),2.3.0,ghz_dynamic,3,3,0,0,0,0,0,0,4
ghz_dynamic_6,mqtbench,mqt.bench (PyPI),2.3.0,ghz_dynamic,5,5,0,0,0,0,0,0,7
ghz_dynamic_8,mqtbench,mqt.bench (PyPI),2.3.0,ghz_dynamic,7,7,0,0,0,0,0,0,10
ghz_dynamic_12,mqtbench,mqt.bench (PyPI),2.3.0,ghz_dynamic,11,11,0,0,0,0,0,0,16
iqpe_4,mqtbench,mqt.bench (PyPI),2.3.0,iqpe,6,6,0,0,0,0,0,0,1
iqpe_6,mqtbench,mqt.bench (PyPI),2.3.0,iqpe,15,15,0,0,0,0,0,0,4
iqpe_8,mqtbench,mqt.bench (PyPI),2.3.0,iqpe,28,28,0,0,0,0,0,0,7
iqpe_12,mqtbench,mqt.bench (PyPI),2.3.0,iqpe,66,66,0,0,0,0,0,0,10
qt_add8,qualtran,quantumlib/Qualtran (PyPI),0.7.0,add8,7,0,7,0,0,0,7,0,81
qt_sub8,qualtran,quantumlib/Qualtran (PyPI),0.7.0,sub8,7,0,7,0,0,0,7,0,81
qt_cadd8,qualtran,quantumlib/Qualtran (PyPI),0.7.0,cadd8,15,0,15,0,0,0,15,8,129
qt_addk8,qualtran,quantumlib/Qualtran (PyPI),0.7.0,addk8,7,0,7,0,0,0,7,0,81
qt_ltc8,qualtran,quantumlib/Qualtran (PyPI),0.7.0,ltc8,8,0,8,0,0,0,8,8,68
qt_gt8,qualtran,quantumlib/Qualtran (PyPI),0.7.0,gt8,15,0,15,0,0,0,15,14,225
qt_equals8,qualtran,quantumlib/Qualtran (PyPI),0.7.0,equals8,7,0,7,0,0,0,7,7,59
qt_modadd8,qualtran,quantumlib/Qualtran (PyPI),0.7.0,modadd8,31,0,31,0,0,0,31,0,376
qt_modneg8,qualtran,quantumlib/Qualtran (PyPI),0.7.0,modneg8,21,0,21,0,0,0,21,12,194
qt_qrom16,qualtran,quantumlib/Qualtran (PyPI),0.7.0,qrom16,14,0,14,0,0,0,14,7,130
